"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"    1.0","42377.0","13045.0","11701.4"," 2046.0","   49.0","   17.0","  299.0"," 1482.0"," 2179.0"," 3727.0"," 5292.0","   31.0","   10.0","  178.0","  867.0"," 1246.0"," 1897.0"," 1982.0","   18.0","    7.0","  121.0","  615.0","  933.0"," 1830.0"," 3310.0","  705.0"," 1748.0"," 1284.0"," 1067.0"," 1396.0"," 1401.0"," 1226.0"," 1951.0"," 1424.0","  809.0"
"2","42384","11501","13016.4","1835","64","24","326","1363","1925","3283","4512","36","14","221","812","1159","1709","1656","28","10","105","551","766","1574","2856","600","1532","1148","956","1208","1237","1048","1771","1263","711"
"    3.0","42391.0","11473.0","11765.4"," 1775.0","   50.0","   18.0","  345.0"," 1293.0"," 1831.0"," 3327.0"," 4606.0","   32.0","    8.0","  238.0","  791.0"," 1079.0"," 1734.0"," 1750.0","   18.0","   10.0","  107.0","  502.0","  752.0"," 1593.0"," 2856.0","  612.0"," 1602.0"," 1119.0","  929.0"," 1209.0"," 1253.0"," 1068.0"," 1710.0"," 1219.0","  720.0"
"    4","42398","11317","11289"," 1810","   47","   14","  324"," 1322"," 1859"," 3147"," 4599","   25","    8","  217","  773"," 1069"," 1643"," 1754","   22","    6","  107","  549","  790"," 1504"," 2845","  631"," 1516"," 1131","  858"," 1195"," 1236"," 1065"," 1730"," 1207","  717"
"    5.0","42405.0","11052.0","10965.6"," 1748.0","   60.0","   22.0","  314.0"," 1281.0"," 1779.0"," 3181.0"," 4405.0","   35.0","   14.0","  203.0","  767.0"," 1040.0"," 1683.0"," 1655.0","   25.0","    8.0","  111.0","  514.0","  739.0"," 1498.0"," 2750.0","  620.0"," 1459.0"," 1109.0","  954.0"," 1197.0"," 1160.0"," 1059.0"," 1604.0"," 1169.0","  690.0"
"    6","42412","11170","10704"," 1730","   60","   21","  331"," 1356"," 1826"," 3058"," 4502","   36","   12","  203","  782"," 1062"," 1639"," 1666","   24","    9","  128","  574","  764"," 1419"," 2836","  599"," 1466"," 1066","  917"," 1262"," 1155"," 1040"," 1718"," 1222","  700"
"    7.0","42419.0","10590.0","10669.4"," 1700.0","   52.0","   22.0","  305.0"," 1333.0"," 1720.0"," 2982.0"," 4175.0","   27.0","   14.0","  196.0","  803.0"," 1015.0"," 1616.0"," 1577.0","   25.0","    8.0","  109.0","  530.0","  705.0"," 1366.0"," 2598.0","  588.0"," 1443.0"," 1083.0","  881.0"," 1088.0"," 1057.0","  999.0"," 1596.0"," 1171.0","  657.0"
"    8.0","42426.0","11056.0","10657.6"," 1734.0","   58.0","   20.0","  267.0"," 1294.0"," 1774.0"," 3127.0"," 4516.0","   34.0","   13.0","  176.0","  733.0","  995.0"," 1650.0"," 1707.0","   24.0","    7.0","   91.0","  561.0","  779.0"," 1477.0"," 2809.0","  582.0"," 1497.0"," 1115.0","  930.0"," 1087.0"," 1180.0"," 1021.0"," 1707.0"," 1215.0","  696.0"
"    9","42433","11285","10613"," 1774","   39","   21","  318"," 1328"," 1864"," 3180"," 4533","   22","   13","  212","  799"," 1024"," 1709"," 1745","   17","    8","  106","  529","  840"," 1471"," 2788","  582"," 1505"," 1107","  913"," 1144"," 1240"," 1093"," 1742"," 1218","  721"
"   10","42440","11010","10544"," 1768","   54","   22","  273"," 1340"," 1755"," 3171"," 4390","   27","   10","  172","  795"," 1030"," 1713"," 1711","   27","   12","  101","  545","  725"," 1458"," 2679","  569"," 1525"," 1097","  911"," 1104"," 1190"," 1008"," 1694"," 1148","  734"
"   11","42447","11022","10405"," 1709","   55","   22","  295"," 1358"," 1781"," 3070"," 4434","   31","   10","  194","  835"," 1048"," 1596"," 1705","   24","   12","  101","  523","  733"," 1474"," 2729","  552"," 1460"," 1102","  917"," 1136"," 1143"," 1058"," 1595"," 1292","  738"
"   12.0","42454.0"," 9635.0","10209.4"," 1485.0","   55.0","   18.0","  247.0"," 1148.0"," 1567.0"," 2713.0"," 3878.0","   32.0","   13.0","  157.0","  683.0","  898.0"," 1437.0"," 1482.0","   23.0","    5.0","   90.0","  465.0","  669.0"," 1276.0"," 2396.0","  474.0"," 1331.0","  937.0","  809.0","  891.0","  923.0","  900.0"," 1542.0"," 1122.0","  668.0"
"   13","42461","10286"," 9668"," 1688","   49","   15","  264"," 1184"," 1698"," 2992"," 4079","   26","   10","  171","  662","  941"," 1550"," 1583","   23","    5","   93","  522","  757"," 1442"," 2496","  578"," 1362","  968","  859","  942"," 1079"," 1039"," 1611"," 1104","  712"
"   14.0","42468.0","11599.0"," 9592.4"," 1971.0","   53.0","   15.0","  306.0"," 1327.0"," 1941.0"," 3238.0"," 4719.0","   34.0","    7.0","  201.0","  768.0"," 1109.0"," 1738.0"," 1743.0","   19.0","    8.0","  105.0","  559.0","  832.0"," 1500.0"," 2976.0","  606.0"," 1514.0"," 1128.0","  911.0"," 1232.0"," 1190.0"," 1111.0"," 1828.0"," 1319.0","  742.0"
