"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"    1","42741","11991","11782"," 2321","   58","   18","  215"," 1232"," 1880"," 3450"," 5136","   32","    9","  143","  718"," 1070"," 1803"," 1907","   26","    9","   72","  514","  810"," 1647"," 3229","  602"," 1665"," 1208"," 1016"," 1243"," 1187"," 1173"," 1899"," 1228","  744"
"2","42748","13715","12692","2690","56","18","287","1372","2149","3886","5947","33","10","199","819","1237","2015","2230","23","8","88","553","912","1871","3717","738","1840","1351","1170","1439","1450","1296","2161","1419","825"
"    3","42755","13610","11773"," 2625","   54","   19","  301"," 1374"," 2132"," 3701"," 6029","   28","   10","  183","  837"," 1202"," 1902"," 2282","   26","    9","  118","  537","  930"," 1799"," 3747","  676"," 1786"," 1383"," 1190"," 1414"," 1484"," 1276"," 2195"," 1346","  835"
"    4","42762","12877","11441"," 2373","   52","   16","  286"," 1273"," 1946"," 3652"," 5652","   28","    7","  189","  763"," 1164"," 1893"," 2074","   24","    9","   97","  510","  782"," 1759"," 3578","  627"," 1666"," 1242"," 1116"," 1362"," 1488"," 1198"," 1999"," 1278","  881"
"    5","42769","12485","11128"," 2147","   55","   14","  308"," 1239"," 1930"," 3509"," 5430","   27","    8","  209","  751"," 1149"," 1854"," 2059","   28","    6","   99","  488","  781"," 1655"," 3371","  631"," 1625"," 1243"," 1045"," 1293"," 1384"," 1210"," 1920"," 1359","  749"
"    6","42776","12269","10935"," 2093","   57","   17","  293"," 1342"," 1940"," 3483"," 5129","   29","    9","  196","  825"," 1136"," 1754"," 1887","   28","    8","   97","  517","  804"," 1729"," 3242","  635"," 1566"," 1224"," 1036"," 1234"," 1411"," 1161"," 1916"," 1339","  723"
"    7","42783","11644","10835"," 1932","   49","   18","  295"," 1316"," 1811"," 3242"," 4913","   33","   10","  176","  794"," 1071"," 1719"," 1884","   16","    8","  119","  522","  740"," 1523"," 3029","  610"," 1528"," 1186","  964"," 1243"," 1253"," 1095"," 1847"," 1217","  690"
"    8","42790","11794","10983"," 1872","   47","   20","  286"," 1298"," 1816"," 3214"," 5112","   26","    8","  173","  754"," 1031"," 1680"," 1923","   21","   12","  113","  544","  785"," 1534"," 3189","  636"," 1519"," 1159","  954"," 1216"," 1327"," 1114"," 1834"," 1312","  701"
"    9","42797","11248","10980"," 1766","   53","   22","  254"," 1252"," 1823"," 3142"," 4699","   32","   14","  153","  733"," 1039"," 1646"," 1768","   21","    8","  101","  519","  784"," 1496"," 2931","  606"," 1488"," 1123","  963"," 1184"," 1328","  930"," 1673"," 1221","  715"
"   10","42804","11077","10816"," 1660","   54","   17","  316"," 1240"," 1756"," 3086"," 4608","   29","    5","  211","  748"," 1045"," 1636"," 1760","   25","   12","  105","  492","  711"," 1450"," 2848","  570"," 1464"," 1110"," 1038"," 1163"," 1230","  969"," 1738"," 1144","  634"
"   11","42811","10697","10641"," 1561","   59","    7","  274"," 1260"," 1722"," 3015"," 4360","   38","    4","  171","  744","  996"," 1573"," 1672","   21","    3","  103","  516","  726"," 1442"," 2688","  581"," 1450"," 1121","  963"," 1140"," 1150","  946"," 1593"," 1083","  653"
"   12","42818","10325","10193"," 1436","   55","   13","  268"," 1256"," 1739"," 2940"," 4054","   27","    7","  174","  762"," 1000"," 1612"," 1512","   28","    6","   94","  494","  739"," 1328"," 2542","  535"," 1364"," 1065","  947"," 1034"," 1134","  930"," 1557"," 1107","  635"
