"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)  ICD-10 v 2010","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"1","41278","11620","12378.799999999999","2235","34","24","220","1179","1780","3461","4921","17","13","129","679","1047","1734","1757","17","11","91","500","733","1727","3164","696","1545","1138","976","1268","1198","1080","1793","1174","725"
"    2.0","41285.0","12541.0","12881.4"," 2508.0","   65.0","   27.0","  315.0"," 1481.0"," 1849.0"," 3703.0"," 5100.0","   50.0","   11.0","  183.0","  885.0"," 1071.0"," 1915.0"," 1775.0","   15.0","   16.0","  132.0","  596.0","  778.0"," 1788.0"," 3325.0","  732.0"," 1650.0"," 1213.0"," 1025.0"," 1325.0"," 1299.0"," 1182.0"," 1988.0"," 1346.0","  755.0"
"    3.0","41292.0","11075.0","11734.8"," 2015.0","   54.0","   11.0","  324.0"," 1305.0"," 1693.0"," 3156.0"," 4532.0","   32.0","    5.0","  192.0","  791.0"," 1001.0"," 1594.0"," 1621.0","   22.0","    6.0","  132.0","  514.0","  692.0"," 1562.0"," 2911.0","  646.0"," 1539.0"," 1155.0","  928.0"," 1072.0"," 1232.0"," 1012.0"," 1680.0"," 1149.0","  647.0"
"    4.0","41299.0","11262.0","11028.2"," 1903.0","   49.0","   20.0","  285.0"," 1216.0"," 1780.0"," 3286.0"," 4625.0","   24.0","   12.0","  179.0","  730.0"," 1035.0"," 1713.0"," 1614.0","   25.0","    8.0","  106.0","  486.0","  745.0"," 1573.0"," 3011.0","  607.0"," 1571.0"," 1163.0","  919.0"," 1158.0"," 1193.0"," 1063.0"," 1643.0"," 1191.0","  738.0"
"    5.0","41306.0","11314.0","10481.4"," 1939.0","   51.0","   24.0","  253.0"," 1288.0"," 1682.0"," 3293.0"," 4723.0","   31.0","   10.0","  155.0","  749.0","  982.0"," 1739.0"," 1758.0","   20.0","   14.0","   98.0","  539.0","  700.0"," 1554.0"," 2965.0","  599.0"," 1481.0"," 1121.0","  956.0"," 1149.0"," 1215.0"," 1079.0"," 1734.0"," 1211.0","  749.0"
"    6.0","41313.0","11044.0","10217.4"," 1831.0","   59.0","   21.0","  295.0"," 1235.0"," 1713.0"," 3243.0"," 4478.0","   30.0","   10.0","  193.0","  740.0"," 1007.0"," 1645.0"," 1614.0","   29.0","   11.0","  102.0","  495.0","  706.0"," 1598.0"," 2864.0","  565.0"," 1533.0"," 1102.0","  873.0"," 1172.0"," 1144.0"," 1052.0"," 1725.0"," 1182.0","  682.0"
"    7.0","41320.0","11030.0","10210.8"," 1863.0","   55.0","   31.0","  357.0"," 1307.0"," 1682.0"," 3200.0"," 4396.0","   32.0","   12.0","  216.0","  785.0","  988.0"," 1649.0"," 1608.0","   23.0","   19.0","  141.0","  522.0","  694.0"," 1551.0"," 2788.0","  585.0"," 1542.0"," 1126.0","  912.0"," 1174.0"," 1138.0"," 1117.0"," 1575.0"," 1146.0","  697.0"
"    8.0","41327.0","10850.0","10272.4"," 1834.0","   58.0","   22.0","  292.0"," 1170.0"," 1655.0"," 3132.0"," 4515.0","   42.0","    8.0","  178.0","  688.0","  985.0"," 1569.0"," 1645.0","   16.0","   14.0","  114.0","  482.0","  670.0"," 1563.0"," 2870.0","  554.0"," 1522.0"," 1102.0","  939.0"," 1074.0"," 1116.0"," 1048.0"," 1631.0"," 1159.0","  688.0"
"    9.0","41334.0","10783.0","10115.2"," 1851.0","   52.0","   25.0","  318.0"," 1242.0"," 1664.0"," 3079.0"," 4400.0","   34.0","   12.0","  210.0","  755.0","  945.0"," 1615.0"," 1596.0","   18.0","   13.0","  108.0","  487.0","  719.0"," 1464.0"," 2804.0","  532.0"," 1525.0"," 1056.0","  893.0"," 1093.0"," 1171.0"," 1004.0"," 1693.0"," 1155.0","  642.0"
"   10.0","41341.0","11245.0"," 9980.2"," 1981.0","   52.0","   24.0","  279.0"," 1287.0"," 1706.0"," 3269.0"," 4625.0","   23.0","   16.0","  167.0","  727.0"," 1011.0"," 1692.0"," 1669.0","   29.0","    8.0","  112.0","  560.0","  695.0"," 1577.0"," 2956.0","  529.0"," 1568.0"," 1088.0","  950.0"," 1198.0"," 1210.0"," 1041.0"," 1724.0"," 1198.0","  719.0"
"   11","41348","11180"," 9881"," 2054","   55","   27","  313"," 1261"," 1668"," 3239"," 4617","   39","   16","  205","  772","  980"," 1615"," 1638","   16","   11","  108","  489","  688"," 1624"," 2979","  513"," 1538"," 1067","  912"," 1223"," 1148"," 1019"," 1726"," 1286","  720"
"   12.0","41355.0","11075.0"," 9432.6"," 1893.0","   59.0","   15.0","  297.0"," 1245.0"," 1609.0"," 3280.0"," 4567.0","   25.0","    6.0","  203.0","  743.0","  945.0"," 1699.0"," 1591.0","   34.0","    9.0","   94.0","  502.0","  664.0"," 1581.0"," 2976.0","  517.0"," 1534.0"," 1152.0","  987.0"," 1121.0"," 1168.0"," 1017.0"," 1631.0"," 1195.0","  729.0"
"   13.0","41362.0"," 9280.0"," 9348.6"," 1588.0","   41.0","   22.0","  238.0"," 1031.0"," 1435.0"," 2672.0"," 3821.0","   25.0","   16.0","  154.0","  618.0","  847.0"," 1347.0"," 1393.0","   16.0","    6.0","   84.0","  413.0","  588.0"," 1325.0"," 2428.0","  466.0"," 1300.0","  927.0","  764.0","  960.0","  908.0","  902.0"," 1403.0"," 1022.0","  617.0"
"   14.0","41369.0","10890.0"," 9667.6"," 1938.0","   55.0","   21.0","  276.0"," 1245.0"," 1652.0"," 3162.0"," 4467.0","   39.0","   14.0","  161.0","  755.0","  954.0"," 1635.0"," 1618.0","   16.0","    7.0","  115.0","  490.0","  698.0"," 1527.0"," 2849.0","  516.0"," 1531.0"," 1113.0","  911.0"," 1153.0"," 1084.0"," 1041.0"," 1579.0"," 1169.0","  736.0"
"   15.0","41376.0","12147.0"," 9620.2"," 2138.0","   47.0","   20.0","  308.0"," 1351.0"," 1866.0"," 3543.0"," 4999.0","   22.0","   12.0","  196.0","  835.0"," 1093.0"," 1834.0"," 1805.0","   25.0","    8.0","  112.0","  516.0","  773.0"," 1709.0"," 3194.0","  600.0"," 1660.0"," 1147.0","  952.0"," 1371.0"," 1233.0"," 1125.0"," 1914.0"," 1320.0","  792.0"
"   16.0","41383.0","11752.0"," 9707.8"," 2046.0","   49.0","   24.0","  285.0"," 1352.0"," 1814.0"," 3418.0"," 4808.0","   33.0","   11.0","  200.0","  817.0"," 1037.0"," 1804.0"," 1743.0","   16.0","   13.0","   85.0","  535.0","  777.0"," 1614.0"," 3065.0","  565.0"," 1524.0"," 1139.0"," 1014.0"," 1197.0"," 1274.0"," 1062.0"," 1801.0"," 1322.0","  770.0"
"   17","41390","10625"," 9515"," 1667","   48","   17","  328"," 1226"," 1693"," 3009"," 4304","   30","    7","  216","  761"," 1005"," 1557"," 1522","   18","   10","  112","  465","  688"," 1452"," 2782","  505"," 1449"," 1085","  869"," 1066"," 1134","  981"," 1648"," 1159","  708"
"   18.0","41397.0","10169.0"," 9479.2"," 1519.0","   63.0","   23.0","  330.0"," 1225.0"," 1650.0"," 2897.0"," 3978.0","   26.0","   13.0","  231.0","  749.0","  992.0"," 1572.0"," 1413.0","   37.0","   10.0","   99.0","  476.0","  658.0"," 1325.0"," 2565.0","  555.0"," 1347.0","  966.0","  852.0"," 1042.0"," 1070.0","  952.0"," 1612.0"," 1094.0","  657.0"
"   19","41404"," 8814"," 9096"," 1263","   56","   17","  269"," 1046"," 1468"," 2594"," 3363","   34","   10","  163","  631","  873"," 1401"," 1220","   22","    7","  106","  415","  595"," 1193"," 2143","  483"," 1213","  895","  718","  870","  954","  868"," 1306","  942","  547"
"   20","41411"," 9847"," 9345"," 1421","   67","   20","  278"," 1199"," 1633"," 2961"," 3688","   41","    9","  201","  700","  981"," 1594"," 1328","   26","   11","   77","  499","  652"," 1367"," 2360","  484"," 1295","  995","  823"," 1047"," 1040","  919"," 1546"," 1068","  603"
"   21.0","41418.0"," 9530.0"," 9311.2"," 1262.0","   52.0","   24.0","  255.0"," 1133.0"," 1489.0"," 2912.0"," 3663.0","   34.0","   15.0","  178.0","  688.0","  840.0"," 1580.0"," 1332.0","   18.0","    9.0","   77.0","  445.0","  649.0"," 1332.0"," 2331.0","  489.0"," 1293.0","  978.0","  776.0"," 1000.0","  978.0","  863.0"," 1501.0"," 1020.0","  606.0"
"   22.0","41425.0"," 8333.0"," 8460.2"," 1098.0","   50.0","   17.0","  223.0"," 1036.0"," 1428.0"," 2479.0"," 3098.0","   34.0","    7.0","  137.0","  592.0","  796.0"," 1272.0"," 1151.0","   16.0","   10.0","   86.0","  444.0","  632.0"," 1207.0"," 1947.0","  488.0"," 1176.0","  779.0","  695.0","  846.0","  875.0","  769.0"," 1267.0","  856.0","  557.0"
"   23.0","41432.0"," 9482.0"," 8723.6"," 1291.0","   42.0","   19.0","  298.0"," 1164.0"," 1630.0"," 2803.0"," 3525.0","   23.0","   11.0","  190.0","  685.0","  950.0"," 1414.0"," 1341.0","   19.0","    8.0","  108.0","  479.0","  680.0"," 1389.0"," 2184.0","  502.0"," 1256.0","  917.0","  803.0"," 1002.0"," 1004.0","  870.0"," 1525.0","  961.0","  603.0"
"   24.0","41439.0"," 8869.0"," 9060.4"," 1131.0","   57.0","   20.0","  249.0"," 1158.0"," 1501.0"," 2622.0"," 3261.0","   36.0","   13.0","  159.0","  686.0","  876.0"," 1369.0"," 1229.0","   21.0","    7.0","   90.0","  472.0","  625.0"," 1253.0"," 2032.0","  468.0"," 1206.0","  874.0","  735.0","  909.0","  947.0","  865.0"," 1318.0","  975.0","  556.0"
"   25.0","41446.0"," 8904.0"," 8770.2"," 1158.0","   57.0","   24.0","  287.0"," 1137.0"," 1495.0"," 2623.0"," 3281.0","   32.0","   18.0","  193.0","  670.0","  842.0"," 1388.0"," 1228.0","   25.0","    6.0","   94.0","  467.0","  653.0"," 1235.0"," 2053.0","  467.0"," 1163.0","  850.0","  757.0","  861.0","  994.0","  866.0"," 1381.0","  947.0","  583.0"
"   26.0","41453.0"," 8589.0"," 8759.4"," 1108.0","   39.0","   20.0","  295.0"," 1104.0"," 1469.0"," 2525.0"," 3136.0","   23.0","   12.0","  188.0","  673.0","  846.0"," 1310.0"," 1157.0","   16.0","    8.0","  107.0","  431.0","  623.0"," 1215.0"," 1979.0","  476.0"," 1150.0","  817.0","  696.0","  846.0"," 1022.0","  811.0"," 1310.0","  906.0","  533.0"
"   27.0","41460.0"," 8790.0"," 8749.2"," 1073.0","   52.0","   16.0","  262.0"," 1173.0"," 1489.0"," 2548.0"," 3223.0","   24.0","    7.0","  169.0","  685.0","  861.0"," 1336.0"," 1211.0","   28.0","    9.0","   93.0","  488.0","  628.0"," 1212.0"," 2012.0","  449.0"," 1190.0","  868.0","  769.0","  894.0","  912.0","  833.0"," 1415.0","  926.0","  520.0"
"   28","41467"," 8533"," 8546"," 1095","   51","   26","  274"," 1092"," 1450"," 2494"," 3146","   26","   15","  174","  666","  859"," 1294"," 1232","   25","   11","  100","  426","  591"," 1200"," 1914","  413"," 1212","  861","  702","  902","  860","  797"," 1305","  914","  534"
"   29.0","41474.0"," 8790.0"," 8453.8"," 1092.0","   50.0","   17.0","  290.0"," 1153.0"," 1465.0"," 2585.0"," 3230.0","   27.0","   11.0","  175.0","  706.0","  885.0"," 1367.0"," 1170.0","   23.0","    6.0","  115.0","  447.0","  580.0"," 1218.0"," 2060.0","  480.0"," 1130.0","  902.0","  718.0","  969.0","  907.0","  803.0"," 1394.0","  958.0","  513.0"
"   30.0","41481.0"," 8476.0"," 8542.8"," 1061.0","   53.0","   14.0","  269.0"," 1069.0"," 1439.0"," 2470.0"," 3162.0","   34.0","    6.0","  180.0","  648.0","  821.0"," 1287.0"," 1109.0","   19.0","    8.0","   89.0","  421.0","  618.0"," 1183.0"," 2053.0","  426.0"," 1173.0","  789.0","  751.0","  852.0","  864.0","  837.0"," 1282.0","  922.0","  553.0"
"   31.0","41488.0"," 8159.0"," 8644.4","  996.0","   59.0","   20.0","  256.0"," 1091.0"," 1383.0"," 2330.0"," 3018.0","   29.0","   12.0","  162.0","  645.0","  807.0"," 1210.0"," 1091.0","   30.0","    8.0","   94.0","  446.0","  576.0"," 1120.0"," 1927.0","  395.0"," 1121.0","  851.0","  648.0","  853.0","  866.0","  766.0"," 1269.0","  853.0","  518.0"
"   32","41495"," 8280"," 8533","  982","   47","   11","  274"," 1056"," 1458"," 2451"," 2983","   25","   10","  176","  605","  854"," 1327"," 1119","   22","    1","   98","  451","  604"," 1124"," 1864","  417"," 1123","  855","  715","  828","  874","  717"," 1302","  911","  516"
"   33.0","41502.0"," 8231.0"," 8565.2","  972.0","   52.0","   22.0","  271.0"," 1134.0"," 1395.0"," 2392.0"," 2964.0","   28.0","    9.0","  165.0","  656.0","  819.0"," 1260.0"," 1089.0","   24.0","   13.0","  106.0","  478.0","  576.0"," 1132.0"," 1875.0","  461.0"," 1133.0","  819.0","  642.0","  849.0","  830.0","  767.0"," 1274.0","  904.0","  524.0"
"   34.0","41509.0"," 8579.0"," 8620.4","  996.0","   53.0","   20.0","  251.0"," 1042.0"," 1516.0"," 2524.0"," 3167.0","   32.0","   10.0","  162.0","  643.0","  876.0"," 1263.0"," 1200.0","   21.0","   10.0","   89.0","  399.0","  640.0"," 1261.0"," 1967.0","  447.0"," 1171.0","  854.0","  664.0","  902.0","  902.0","  790.0"," 1389.0","  909.0","  524.0"
"   35.0","41516.0"," 7688.0"," 7809.2","  868.0","   40.0","   15.0","  223.0","  964.0"," 1295.0"," 2287.0"," 2861.0","   17.0","    8.0","  147.0","  548.0","  783.0"," 1183.0"," 1067.0","   23.0","    7.0","   76.0","  416.0","  512.0"," 1104.0"," 1794.0","  393.0"," 1062.0","  790.0","  647.0","  754.0","  775.0","  754.0"," 1164.0","  808.0","  511.0"
"   36.0","41523.0"," 8905.0"," 8612.6"," 1042.0","   52.0","   23.0","  290.0"," 1098.0"," 1484.0"," 2641.0"," 3316.0","   34.0","   13.0","  208.0","  634.0","  868.0"," 1420.0"," 1234.0","   18.0","   10.0","   82.0","  464.0","  616.0"," 1221.0"," 2082.0","  485.0"," 1209.0","  874.0","  747.0","  895.0","  922.0","  810.0"," 1355.0"," 1003.0","  569.0"
"   37.0","41530.0"," 8347.0"," 8661.6","  895.0","   61.0","   19.0","  247.0"," 1099.0"," 1437.0"," 2376.0"," 3108.0","   33.0","    8.0","  147.0","  661.0","  878.0"," 1284.0"," 1147.0","   28.0","   11.0","  100.0","  438.0","  559.0"," 1092.0"," 1961.0","  438.0"," 1105.0","  833.0","  721.0","  881.0","  888.0","  770.0"," 1253.0","  888.0","  530.0"
"   38.0","41537.0"," 8635.0"," 8674.4","  994.0","   58.0","   18.0","  263.0"," 1094.0"," 1516.0"," 2526.0"," 3158.0","   42.0","    8.0","  164.0","  683.0","  889.0"," 1347.0"," 1158.0","   16.0","   10.0","   99.0","  411.0","  627.0"," 1179.0"," 2000.0","  450.0"," 1145.0","  875.0","  723.0","  842.0","  904.0","  813.0"," 1352.0","  953.0","  543.0"
"   39.0","41544.0"," 9155.0"," 8866.2"," 1099.0","   54.0","   18.0","  282.0"," 1180.0"," 1527.0"," 2597.0"," 3497.0","   25.0","   11.0","  185.0","  696.0","  891.0"," 1323.0"," 1280.0","   29.0","    7.0","   97.0","  484.0","  636.0"," 1274.0"," 2217.0","  469.0"," 1277.0","  935.0","  742.0","  930.0","  985.0","  839.0"," 1429.0","  960.0","  558.0"
"   40.0","41551.0"," 9191.0"," 8961.8"," 1149.0","   48.0","   16.0","  302.0"," 1134.0"," 1494.0"," 2697.0"," 3498.0","   25.0","    5.0","  204.0","  686.0","  850.0"," 1425.0"," 1333.0","   23.0","   11.0","   98.0","  448.0","  644.0"," 1272.0"," 2165.0","  526.0"," 1251.0","  862.0","  786.0","  910.0","  979.0","  915.0"," 1374.0","  972.0","  589.0"
"   41","41558"," 8939"," 9127"," 1143","   58","   18","  316"," 1102"," 1538"," 2614"," 3293","   31","    9","  209","  650","  907"," 1406"," 1233","   27","    9","  107","  452","  631"," 1208"," 2060","  481"," 1186","  933","  753","  915","  933","  859"," 1325","  971","  555"
"   42.0","41565.0"," 9237.0"," 9165.4"," 1157.0","   58.0","   18.0","  288.0"," 1166.0"," 1480.0"," 2729.0"," 3494.0","   31.0","   12.0","  182.0","  714.0","  884.0"," 1452.0"," 1232.0","   27.0","    6.0","  106.0","  452.0","  596.0"," 1277.0"," 2262.0","  504.0"," 1231.0","  865.0","  792.0","  937.0"," 1033.0","  862.0"," 1378.0","  987.0","  594.0"
"   43.0","41572.0"," 9236.0"," 9331.6"," 1215.0","   51.0","   25.0","  274.0"," 1131.0"," 1482.0"," 2651.0"," 3621.0","   28.0","   17.0","  186.0","  662.0","  853.0"," 1430.0"," 1354.0","   23.0","    8.0","   88.0","  469.0","  629.0"," 1221.0"," 2267.0","  482.0"," 1227.0","  876.0","  803.0","  951.0","  943.0","  870.0"," 1471.0"," 1007.0","  551.0"
"   44","41579"," 9107"," 9474"," 1206","   53","   15","  293"," 1103"," 1546"," 2637"," 3460","   27","   10","  189","  651","  928"," 1383"," 1278","   26","    5","  104","  452","  618"," 1254"," 2182","  523"," 1258","  875","  769","  963","  997","  835"," 1336","  977","  559"
"   45.0","41586.0"," 9449.0"," 9511.6"," 1246.0","   65.0","   16.0","  276.0"," 1133.0"," 1552.0"," 2819.0"," 3588.0","   38.0","    7.0","  182.0","  680.0","  878.0"," 1502.0"," 1354.0","   27.0","    9.0","   94.0","  453.0","  674.0"," 1317.0"," 2234.0","  494.0"," 1221.0","  950.0","  765.0","  963.0"," 1008.0","  918.0"," 1455.0"," 1052.0","  591.0"
