"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"    1","43469","10955","12273"," 1736","   43","   15","  215"," 1199"," 1766"," 3078"," 4639","   28","    5","  128","  693","  992"," 1590"," 1758","   15","   10","   87","  506","  774"," 1488"," 2881","  574"," 1456"," 1148","  964"," 1180"," 1136"," 1021"," 1586"," 1136","  718"
"2","43476","12609","13670","2214","50","20","280","1419","2179","3590","5071","20","13","168","852","1265","1857","1997","30","7","112","567","914","1733","3074","643","1612","1279","1089","1299","1386","1137","1927","1394","809"
"3","43483","11860","13056","1972","59","29","319","1373","2004","3414","4662","39","14","211","831","1131","1837","1828","20","15","108","542","873","1577","2834","627","1566","1197","979","1187","1344","1073","1936","1236","683"
"    4","43490","11740","12486"," 1942","   42","   22","  339"," 1438"," 1936"," 3266"," 4697","   26","   10","  225","  860"," 1154"," 1766"," 1862","   16","   12","  114","  578","  782"," 1500"," 2835","  640"," 1593"," 1137"," 1037"," 1131"," 1291"," 1045"," 1875"," 1229","  734"
"    5","43497","11297","11998"," 1931","   57","   15","  307"," 1367"," 1852"," 3126"," 4573","   38","   10","  208","  805"," 1045"," 1664"," 1834","   19","    5","   99","  562","  807"," 1462"," 2739","  618"," 1485"," 1131","  963"," 1150"," 1202"," 1066"," 1718"," 1191","  745"
"    6","43504","11660","11623"," 1918","   54","   25","  267"," 1387"," 1955"," 3251"," 4721","   36","   17","  152","  869"," 1100"," 1718"," 1895","   18","    8","  115","  518","  855"," 1533"," 2826","  608"," 1595"," 1133","  988"," 1241"," 1283"," 1088"," 1738"," 1251","  701"
"    7","43511","11824","11301"," 1931","   49","   17","  305"," 1372"," 1911"," 3392"," 4778","   27","    8","  201","  799"," 1117"," 1776"," 1932","   22","    9","  104","  573","  794"," 1616"," 2846","  569"," 1618"," 1189"," 1033"," 1231"," 1342"," 1061"," 1802"," 1207","  748"
"    8","43518","11295","11383"," 1890","   59","   30","  276"," 1395"," 1824"," 3169"," 4542","   30","   16","  159","  850"," 1088"," 1696"," 1804","   29","   14","  117","  545","  736"," 1473"," 2738","  610"," 1495"," 1124","  928"," 1143"," 1218"," 1045"," 1777"," 1234","  695"
"    9","43525","11044","11051"," 1786","   52","   20","  288"," 1264"," 1826"," 3117"," 4477","   24","   10","  182","  745"," 1059"," 1656"," 1787","   28","   10","  106","  519","  767"," 1461"," 2690","  572"," 1425"," 1109","  927"," 1188"," 1214"," 1009"," 1712"," 1178","  684"
"   10","43532","10898","11286"," 1657","   45","   16","  303"," 1342"," 1857"," 3042"," 4293","   32","   10","  197","  839"," 1112"," 1664"," 1689","   13","    6","  106","  503","  745"," 1378"," 2604","  582"," 1463"," 1083","  946"," 1150"," 1116"," 1004"," 1708"," 1198","  622"
"   11","43539","10567","11095"," 1559","   57","   24","  299"," 1311"," 1718"," 2933"," 4225","   30","   11","  194","  788"," 1043"," 1531"," 1633","   27","   13","  105","  523","  675"," 1402"," 2592","  527"," 1393"," 1054","  879"," 1092"," 1198","  975"," 1601"," 1149","  666"
"   12","43546","10402","10456"," 1486","   49","   24","  293"," 1249"," 1713"," 2948"," 4126","   29","    9","  200","  774","  965"," 1596"," 1630","   20","   15","   93","  475","  748"," 1352"," 2496","  532"," 1437"," 1087","  890"," 1062"," 1066","  925"," 1640"," 1089","  628"
"   13","43553"," 9867","10076"," 1314","   45","   17","  289"," 1222"," 1643"," 2794"," 3857","   26","    8","  205","  728","  978"," 1470"," 1501","   19","    9","   84","  494","  665"," 1324"," 2356","  529"," 1278","  943","  875","  930"," 1136","  910"," 1540"," 1047","  654"
"   14","43560","10126","10268"," 1412","   41","   13","  296"," 1232"," 1614"," 2937"," 3993","   21","    8","  184","  725","  930"," 1589"," 1592","   20","    5","  112","  507","  684"," 1348"," 2401","  518"," 1277","  959","  876"," 1050"," 1224","  928"," 1582"," 1039","  642"
"   15","43567","10291","10362"," 1396","   47","   23","  288"," 1265"," 1712"," 2907"," 4049","   31","   14","  194","  783","  995"," 1543"," 1629","   16","    9","   94","  482","  717"," 1364"," 2420","  510"," 1341"," 1034","  858"," 1084"," 1188","  937"," 1623"," 1037","  637"
"   16","43574"," 9025","10291"," 1262","   48","   21","  251"," 1100"," 1446"," 2547"," 3612","   24","   11","  146","  644","  852"," 1420"," 1430","   24","   10","  105","  456","  594"," 1127"," 2182","  459"," 1225","  910","  759","  928"," 1014","  834"," 1350","  919","  580"
"   17","43581","10059","10317"," 1406","   34","   18","  273"," 1207"," 1730"," 2811"," 3986","   16","    9","  171","  724","  970"," 1543"," 1588","   18","    9","  102","  483","  760"," 1268"," 2398","  551"," 1365","  996","  856"," 1008"," 1084","  951"," 1495"," 1053","  678"
"   18","43588","11207"," 9804"," 1581","   46","   18","  297"," 1334"," 1869"," 3207"," 4436","   26","   14","  207","  821"," 1089"," 1709"," 1725","   20","    4","   90","  513","  780"," 1498"," 2711","  541"," 1493"," 1125","  986"," 1136"," 1139"," 1040"," 1782"," 1251","  688"
"   19","43595"," 9055"," 9488"," 1239","   56","   17","  262"," 1094"," 1513"," 2579"," 3534","   34","    9","  159","  624","  868"," 1362"," 1411","   22","    8","  103","  470","  645"," 1217"," 2123","  484"," 1214","  924","  776","  906","  943","  807"," 1456","  922","  600"
"   20","43602","10272","10036"," 1355","   44","   14","  304"," 1274"," 1650"," 2864"," 4122","   24","    7","  192","  795","  977"," 1528"," 1685","   20","    7","  112","  479","  673"," 1336"," 2437","  548"," 1402","  980","  887"," 1082"," 1112","  927"," 1570"," 1078","  658"
"   21","43609","10284"," 9747"," 1324","   51","   21","  309"," 1262"," 1765"," 2946"," 3930","   29","   12","  193","  751"," 1044"," 1564"," 1532","   22","    9","  116","  511","  721"," 1382"," 2398","  530"," 1397"," 1024","  888"," 1070"," 1097","  876"," 1620"," 1126","  627"
"   22","43616"," 8260"," 8125"," 1105","   45","   16","  239","  991"," 1382"," 2403"," 3184","   22","   11","  147","  565","  784"," 1247"," 1287","   23","    5","   92","  426","  598"," 1156"," 1897","  436"," 1176","  782","  699","  840","  842","  809"," 1252","  886","  518"
"   23","43623","10140"," 9860"," 1290","   48","   18","  306"," 1223"," 1741"," 2846"," 3958","   26","    9","  199","  757"," 1015"," 1599"," 1614","   22","    9","  107","  466","  726"," 1247"," 2344","  554"," 1349"," 1025","  880"," 1082","  982","  919"," 1516"," 1182","  626"
"   24","43630"," 9445"," 9408"," 1134","   46","   18","  298"," 1149"," 1658"," 2672"," 3604","   22","   11","  198","  673","  963"," 1464"," 1442","   24","    7","  100","  476","  695"," 1208"," 2162","  507"," 1313","  889","  817","  950"," 1012","  900"," 1452","  986","  598"
"   25","43637"," 9458"," 9302"," 1134","   46","   20","  279"," 1150"," 1625"," 2711"," 3627","   25","   11","  196","  714","  963"," 1480"," 1427","   21","    9","   83","  436","  662"," 1231"," 2200","  478"," 1344","  931","  751","  938"," 1011","  900"," 1510"," 1032","  542"
"   26","43644"," 9511"," 9177"," 1143","   39","   21","  273"," 1214"," 1605"," 2692"," 3667","   22","    9","  186","  738","  969"," 1509"," 1503","   17","   12","   87","  476","  636"," 1183"," 2164","  475"," 1250","  984","  790"," 1013"," 1028","  892"," 1481"," 1005","  564"
"   27","43651"," 9062"," 9123"," 1076","   33","   26","  255"," 1112"," 1561"," 2650"," 3425","   24","   17","  170","  637","  910"," 1420"," 1318","    9","    9","   85","  475","  651"," 1230"," 2107","  437"," 1269","  896","  750","  940","  981","  833"," 1431","  962","  534"
"   28","43658"," 9179"," 9170"," 1081","   44","   16","  259"," 1140"," 1564"," 2616"," 3540","   23","    7","  174","  698","  900"," 1394"," 1471","   21","    9","   85","  442","  664"," 1222"," 2069","  458"," 1272","  932","  747","  949","  995","  875"," 1357","  972","  588"
"   29","43665"," 9080"," 9100"," 1024","   45","   14","  279"," 1136"," 1500"," 2610"," 3496","   31","   10","  180","  683","  863"," 1380"," 1426","   14","    4","   99","  453","  637"," 1230"," 2070","  478"," 1287","  841","  809","  962","  994","  829"," 1328","  981","  553"
"   30","43672"," 9112"," 9023","  996","   57","   14","  267"," 1117"," 1598"," 2580"," 3479","   36","    7","  165","  660","  951"," 1374"," 1351","   21","    7","  102","  457","  647"," 1206"," 2128","  534"," 1237","  895","  774","  882"," 1024","  833"," 1376","  982","  543"
"   31","43679"," 9271"," 8963"," 1116","   57","   11","  265"," 1123"," 1597"," 2664"," 3554","   30","    6","  164","  702","  921"," 1445"," 1455","   27","    5","  101","  421","  676"," 1219"," 2099","  536"," 1234","  936","  782","  929","  988","  911"," 1424","  926","  570"
"   32","43686"," 9122"," 9026"," 1048","   57","   12","  245"," 1095"," 1578"," 2575"," 3560","   26","    9","  156","  662","  938"," 1410"," 1387","   31","    3","   89","  433","  640"," 1165"," 2173","  530"," 1149","  867","  795","  953"," 1026","  891"," 1334"," 1010","  542"
"   33","43693"," 9093"," 9025"," 1033","   54","   24","  277"," 1244"," 1573"," 2530"," 3391","   28","   13","  197","  743","  927"," 1371"," 1436","   26","   11","   80","  501","  646"," 1159"," 1955","  497"," 1237","  857","  749","  969","  933","  892"," 1355","  978","  589"
"   34","43700"," 8994"," 9113","  981","   47","    8","  264"," 1127"," 1582"," 2479"," 3487","   31","    4","  169","  681","  942"," 1357"," 1439","   16","    4","   95","  446","  640"," 1122"," 2048","  505"," 1203","  927","  726","  918","  964","  826"," 1389","  963","  553"
"   35","43707"," 8242"," 8197","  854","   45","   16","  224"," 1026"," 1419"," 2319"," 3193","   23","   10","  138","  629","  846"," 1240"," 1232","   22","    6","   86","  397","  573"," 1079"," 1961","  466"," 1153","  832","  697","  826","  838","  784"," 1245","  814","  558"
"   36","43714"," 9695"," 9177"," 1125","   54","   19","  268"," 1199"," 1643"," 2775"," 3737","   29","    9","  183","  715","  955"," 1487"," 1480","   25","   10","   85","  484","  688"," 1288"," 2257","  473"," 1248","  937","  867","  939"," 1115","  976"," 1518"," 1014","  582"
"   37","43721"," 9513"," 9260"," 1028","   60","   12","  297"," 1169"," 1617"," 2654"," 3704","   31","    3","  178","  709","  946"," 1421"," 1547","   29","    9","  119","  460","  671"," 1233"," 2157","  482"," 1328","  916","  774"," 1001"," 1088","  916"," 1399"," 1020","  567"
"   38","43728"," 9440"," 9197"," 1056","   45","   18","  264"," 1174"," 1592"," 2695"," 3652","   23","   11","  165","  716","  918"," 1412"," 1463","   22","    7","   99","  458","  674"," 1283"," 2189","  494"," 1283","  954","  827","  974"," 1049","  889"," 1385","  982","  572"
"   39","43735"," 9517"," 9283"," 1045","   55","   14","  269"," 1197"," 1547"," 2760"," 3675","   28","    8","  174","  704","  922"," 1514"," 1527","   27","    6","   95","  493","  625"," 1246"," 2148","  538"," 1299","  906","  842"," 1027"," 1014","  840"," 1404"," 1017","  611"
"   40","43742"," 9799"," 9450"," 1114","   68","   15","  325"," 1189"," 1665"," 2780"," 3757","   37","    7","  218","  705","  950"," 1489"," 1508","   31","    8","  107","  484","  715"," 1291"," 2249","  491"," 1322","  948","  875"," 1008"," 1059","  846"," 1573"," 1059","  597"
"   41","43749"," 9973"," 9651"," 1209","   46","   16","  302"," 1137"," 1595"," 2869"," 4008","   26","   10","  208","  686","  966"," 1525"," 1609","   20","    6","   94","  451","  629"," 1344"," 2399","  527"," 1400"," 1005","  847"," 1027"," 1073","  887"," 1557"," 1026","  590"
"   42","43756","10156"," 9726"," 1236","   54","   14","  303"," 1154"," 1628"," 2920"," 4083","   32","   10","  193","  676","  937"," 1551"," 1641","   22","    4","  110","  478","  691"," 1369"," 2442","  567"," 1400"," 1019","  863"," 1093"," 1083","  886"," 1556"," 1040","  622"
"   43","43763","10021"," 9674"," 1252","   49","   14","  281"," 1198"," 1663"," 2799"," 4017","   23","    6","  186","  699","  963"," 1550"," 1617","   26","    8","   95","  499","  700"," 1249"," 2400","  540"," 1361"," 1001","  846"," 1019"," 1063","  895"," 1491"," 1107","  670"
"   44","43770","10164"," 9777"," 1333","   45","   19","  289"," 1196"," 1663"," 2938"," 4014","   27","    9","  176","  682","  980"," 1501"," 1573","   18","   10","  113","  514","  683"," 1437"," 2441","  537"," 1338"," 1033","  877","  967"," 1100","  976"," 1547"," 1118","  642"
"   45","43777","10697","10142"," 1363","   52","    7","  314"," 1236"," 1676"," 2998"," 4414","   29","    3","  199","  738","  991"," 1616"," 1737","   23","    4","  115","  498","  685"," 1382"," 2677","  553"," 1455"," 1053","  880"," 1110"," 1181","  974"," 1701"," 1102","  653"
"   46","43784","10650","10226"," 1451","   46","   19","  271"," 1254"," 1673"," 3070"," 4317","   19","    9","  172","  739","  980"," 1635"," 1692","   27","   10","   99","  515","  693"," 1435"," 2625","  607"," 1402"," 1070","  889"," 1080"," 1090"," 1041"," 1690"," 1083","  674"
"   47","43791","10882","10124"," 1423","   57","   19","  283"," 1225"," 1743"," 3163"," 4392","   32","    9","  168","  724"," 1042"," 1724"," 1776","   25","   10","  115","  501","  701"," 1439"," 2616","  582"," 1464"," 1039","  931"," 1138"," 1166"," 1023"," 1618"," 1203","  699"
"   48","43798","10958","10164"," 1566","   56","   14","  312"," 1237"," 1751"," 3142"," 4446","   35","   10","  209","  739"," 1008"," 1746"," 1808","   21","    4","  103","  498","  743"," 1396"," 2638","  563"," 1469"," 1139","  935"," 1184"," 1116"," 1025"," 1648"," 1166","  689"
"   49","43805","10816","10585"," 1505","   50","   17","  315"," 1275"," 1689"," 3078"," 4392","   32","   11","  204","  756","  985"," 1639"," 1748","   18","    6","  111","  519","  704"," 1439"," 2644","  558"," 1477"," 1011","  958"," 1083"," 1184","  986"," 1647"," 1157","  737"
"   50","43812","11188","10622"," 1637","   52","   32","  315"," 1313"," 1793"," 3215"," 4468","   29","   16","  187","  746"," 1028"," 1711"," 1772","   23","   16","  128","  567","  765"," 1504"," 2696","  585"," 1637"," 1102","  973"," 1130"," 1176"," 1044"," 1690"," 1130","  699"
"   51","43819","11926","11499"," 1839","   53","   19","  368"," 1316"," 1903"," 3299"," 4968","   25","    9","  229","  768"," 1095"," 1733"," 1995","   28","   10","  139","  548","  808"," 1566"," 2973","  670"," 1712"," 1173"," 1050"," 1269"," 1238"," 1028"," 1709"," 1288","  767"
"   52","43826"," 7533"," 8014"," 1166","   34","   13","  148","  773"," 1185"," 2231"," 3149","   20","    6","   85","  448","  666"," 1123"," 1218","   14","    7","   63","  325","  519"," 1108"," 1931","  411"," 1200","  737","  729","  720","  716","  653"," 1094","  766","  496"
