"Week number","Week ended","Total deaths, all ages","Total deaths: average of corresponding","All respiratory diseases (ICD-10 J00-J99)
ICD-10 v 2013 (IRIS)","ICD-10 v 2010 (NCHS)","All Under 1 year","All 01-14","All 15-44","All 45-64","All 65-74","All 75-84","All 85+","Male Under 1 year","Male 01-14","Male 15-44","Male 45-64","Male 65-74","Male 75-84","Male 85+","Female Under 1 year","Female 01-14","Female 15-44","Female 45-64","Female 65-74","Female 75-84","Female 85+","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East","London","South East","South West","Wales"
"13","41726","9622","9121","1296",NA,"76","19","270","1206","1529","2852","3670","39","9","175","722","904","1501","1392","37","10","95","484","625","1351","2278","516","1352","896","836","964","1040","937","1466","978","604"
"14","41733","9944","9639.3999999999996","1363",NA,"45","18","310","1174","1645","2915","3823","19","10","184","700","961","1568","1465","26","8","126","474","684","1347","2358","562","1354","940","851","1024","1100","969","1484","1018","626"
"15","41740","9504","9940.6000000000004","1320",NA,"59","23","299","1160","1627","2631","3701","39","15","203","717","922","1402","1421","20","8","96","443","705","1229","2280","502","1279","921","772","1000","985","884","1510","1039","589"
"16","41747","8000","9999.7999999999993","1042",NA,"49","18","243","951","1344","2362","3029","29","12","153","582","750","1270","1145","20","6","90","369","594","1092","1884","443","1078","775","654","862","876","727","1188","855","527"
"17","41754","9359","9610.3999999999996","1279",NA,"55","20","277","1087","1573","2801","3544","33","11","178","633","922","1464","1381","22","9","99","454","651","1337","2163","458","1348","919","818","919","950","910","1441","945","634"
"18","41761","10527","9519.7999999999993","1434",NA,"49","23","356","1283","1722","3043","4049","29","10","220","763","1003","1583","1496","20","13","136","520","719","1460","2553","589","1367","1049","832","1081","1095","975","1670","1159","686"
"19","41768","8613","9122.6000000000004","1165",NA,"40","17","226","1015","1468","2543","3304","23","10","149","603","886","1362","1264","17","7","77","412","582","1181","2040","456","1163","835","752","860","951","810","1312","944","515"
"20","41775","9513","9395","1185",NA,"48","20","291","1162","1592","2690","3709","23","12","165","694","940","1420","1386","25","8","126","468","652","1270","2323","482","1235","960","793","1002","1051","887","1511","988","576"
"21","41782","9313","9367.2000000000007","1190",NA,"65","17","319","1144","1628","2669","3469","38","10","199","701","964","1415","1246","27","7","120","443","664","1254","2223","505","1276","898","745","919","912","946","1416","1066","602"
"22","41789","8034","8472.6000000000004","1049",NA,"45","21","210","986","1409","2279","3078","29","11","130","591","820","1217","1153","16","10","80","395","589","1062","1925","465","1158","791","686","748","775","804","1261","807","514"
"23","41796","9557","8762.3999999999996","1211",NA,"56","32","301","1170","1639","2748","3608","36","23","192","698","977","1455","1399","20","9","109","472","662","1293","2209","463","1263","925","826","997","1064","890","1536","979","588"
"24","41803","9414","9046","1150",NA,"58","22","292","1136","1575","2725","3602","34","18","194","706","918","1481","1392","24","4","98","430","657","1244","2210","471","1282","888","792","982","961","869","1522","1045","574"
"25","41810","8946","8771.6000000000004","1033",NA,"52","15","313","1144","1472","2663","3287","24","9","194","673","868","1421","1278","28","6","119","471","604","1242","2009","485","1241","826","794","893","1010","825","1341","957","552"
"26","41817","8931","8711.6000000000004","1162",NA,"51","17","285","1173","1536","2558","3311","23","13","173","719","897","1378","1203","28","4","112","454","639","1180","2108","505","1201","904","774","927","955","839","1314","946","541"
"27","41824","8763","8742.3999999999996","1032",NA,"38","26","251","1143","1498","2495","3312","21","16","162","682","927","1310","1246","17","10","89","461","571","1185","2066","451","1189","906","748","898","898","807","1391","886","568"
"28","41831","8784","8513","1038",NA,"44","32","296","1098","1428","2545","3339","20","19","182","677","840","1377","1256","24","13","114","421","588","1168","2083","487","1235","829","771","848","1013","804","1311","912","551"
"29","41838","9119","8510","1042",NA,"42","24","276","1180","1546","2622","3424","21","12","167","713","924","1383","1295","21","12","109","467","622","1239","2129","514","1242","905","789","927","933","826","1419","930","601"
"30","41845","8965","8490.7999999999993","1066",NA,"57","19","234","1109","1507","2628","3409","29","12","145","637","888","1374","1266","28","7","89","472","619","1254","2143","477","1220","806","719","897","1006","884","1381","961","590"
"31","41852","8916","8521.3999999999996","1051",NA,"52","20","312","1114","1520","2556","3339","29","10","203","687","869","1322","1261","23","10","109","427","651","1234","2078","482","1176","870","705","939","970","875","1399","930","545"
"32","41859","8755","8481.7999999999993","1023",NA,"58","22","248","1155","1455","2514","3302","28","13","164","691","842","1304","1175","30","9","84","464","613","1210","2127","440","1179","854","720","954","917","836","1360","923","545"
"33","41866","8792","8512.6000000000004","1018",NA,"57","18","293","1151","1420","2533","3318","27","11","190","720","826","1354","1280","30","7","103","431","594","1179","2038","505","1174","862","761","865","943","836","1338","956","526"
"34","41873","8769","8605","924",NA,"58","15","268","1128","1453","2515","3332","26","10","170","665","830","1358","1221","32","5","98","463","623","1157","2111","497","1220","877","777","885","920","847","1277","911","526"
"35","41880","8027","7795.3999999999996","979",NA,"40","15","246","988","1346","2360","3032","25","12","153","566","761","1212","1162","15","3","93","422","585","1148","1870","468","1149","831","623","824","809","717","1220","848","515"
"36","41887","9671","8628.3999999999996","1139",NA,"50","13","247","1167","1641","2858","3695","20","7","145","686","992","1498","1348","30","6","102","481","649","1360","2347","530","1299","1003","745","1026","1054","923","1467","1012","582"
"37","41894","9284","8603","1082",NA,"57","23","300","1146","1487","2701","3570","35","13","203","689","911","1429","1378","22","10","97","457","576","1272","2192","487","1229","899","762","963","999","893","1448","1004","562"
"38","41901","9107","8663","1051",NA,"57","13","262","1137","1510","2667","3459","37","5","168","665","931","1381","1247","20","8","94","472","579","1286","2212","505","1241","901","747","962","968","873","1315","1005","568"
"39","41908","9048","8911.2000000000007","1080",NA,"56","17","292","1097","1501","2637","3447","34","11","190","693","911","1364","1266","22","6","102","404","590","1273","2181","525","1171","897","736","941","983","832","1431","936","571"
"40","41915","9271","8976","1075",NA,"54","22","288","1113","1481","2680","3631","33","15","191","647","828","1420","1379","21","7","97","466","653","1260","2252","525","1261","888","769","969","989","871","1435","967","569"
"41","41922","9173","9056.2000000000007","1069",NA,"66","21","270","1158","1483","2640","3535","32","9","175","701","854","1383","1358","34","12","95","457","629","1257","2177","568","1187","891","809","975","983","804","1396","958","556"
"42","41929","9464","9136.3999999999996","1091",NA,"49","19","273","1158","1551","2732","3681","21","10","172","711","912","1447","1390","28","9","101","447","639","1285","2291","498","1290","979","785","920","1023","869","1397","1039","627"
"43","41936","9603","9321","1203",NA,"56","19","285","1122","1571","2808","3742","30","8","175","676","926","1495","1387","26","11","110","446","645","1313","2355","472","1259","937","775","1014","1024","893","1525","1010","670"
"44","41943","9586","9439.2000000000007","1180",NA,"51","25","312","1119","1593","2771","3715","34","17","197","649","952","1405","1398","17","8","115","470","641","1366","2317","496","1300","940","782","974","950","1016","1399","1030","673"
"45","41950","9753","9414.3999999999996","1244",NA,"47","16","289","1153","1537","2875","3834","29","10","183","684","880","1568","1427","18","6","106","469","657","1307","2407","488","1290","960","856","992","1118","884","1541","1020","573"
"46","41957","10036","9535.6000000000004","1277",NA,"60","12","300","1156","1631","2933","3937","32","4","185","673","980","1529","1467","28","8","115","483","651","1404","2470","523","1395","948","833","1054","1095","973","1571","1024","592"
"47","41964","9472","9492.3999999999996","1135",NA,"49","16","288","1092","1547","2733","3729","24","8","193","651","919","1440","1398","25","8","95","441","628","1293","2331","471","1261","949","802","963","992","860","1521","999","612"
"48","41971","9928","9398.7999999999993","1213",NA,"64","18","321","1224","1642","2894","3757","36","8","212","719","956","1515","1413","28","10","109","505","686","1379","2344","517","1330","982","804","1025","1056","995","1578","988","622"
"49","41978","10267","10111.799999999999","1463",NA,"62","26","339","1194","1674","2935","4037","35","10","220","743","952","1549","1512","27","16","119","451","722","1386","2525","520","1443","1018","797","1034","1128","1001","1573","1080","650"
"50","41985","10550","10323.6","1552",NA,"40","24","300","1202","1715","3085","4180","21","16","208","689","959","1662","1529","19","8","92","513","756","1423","2651","575","1475","1069","899","1065","1080","1016","1541","1076","731"
"51","41992","11681","10886.4","1950",NA,"50","24","285","1258","1835","3279","4950","23","15","184","750","1100","1679","1856","27","9","101","508","735","1600","3094","633","1591","1176","1003","1204","1215","1139","1707","1266","723"
"52","41999","7837","8310","1366",NA,"37","16","189","782","1238","2247","3327","22","10","128","447","690","1145","1205","15","6","61","335","548","1102","2122","438","1101","833","660","743","804","773","1155","812","503"
